child_id,wage_income_2020,convicted_2020,highest_grade_2020,highest_degree_2020
201,,,,
202,,,,
301,,,,
302,0.0,0.0,6.0,1.0
303,0.0,0.0,6.0,2.0
401,,,,
403,,,,
801,,,,
802,106000.0,0.0,6.0,1.0
803,64000.0,0.0,7.0,3.0
1001,75000.0,0.0,8.0,5.0
1002,,,,
1201,,,,
1202,,,,
1601,,,,
1602,40000.0,0.0,5.0,2.0
1603,0.0,0.0,3.0,2.0
1901,,,,
2001,45000.0,0.0,10.0,6.0
2501,105000.0,0.0,8.0,5.0
2502,57000.0,0.0,8.0,5.0
2701,,,,
2702,60000.0,0.0,8.0,5.0
3001,20000.0,0.0,8.0,5.0
3002,17000.0,0.0,3.0,2.0
3003,35000.0,0.0,6.0,2.0
3501,,,,
3502,,,,
3701,0.0,0.0,3.0,2.0
4301,28000.0,0.0,6.0,1.0
4302,,,,
4303,11000.0,0.0,6.0,2.0
4304,0.0,0.0,2.0,0.0
4401,,,,
4402,,,,
4601,,,,
4602,,,,
4901,7000.0,0.0,8.0,4.0
4902,72000.0,0.0,6.0,2.0
5001,,,,
5002,,,,
5003,,,,
5004,,,,
5005,36000.0,0.0,6.0,2.0
5701,62000.0,0.0,3.0,2.0
5702,14000.0,0.0,6.0,2.0
5703,,0.0,7.0,3.0
5801,,,,
5802,,,,
5803,,,,
6101,80000.0,0.0,8.0,4.0
6102,40000.0,0.0,9.0,5.0
6103,0.0,0.0,2.0,0.0
6201,26000.0,0.0,6.0,2.0
6202,30000.0,0.0,6.0,2.0
6203,2000.0,0.0,4.0,2.0
6801,63000.0,0.0,8.0,4.0
6802,106000.0,0.0,8.0,4.0
6803,30000.0,0.0,8.0,4.0
7501,,,,
7502,,,,
7801,,,,
7802,,,,
7803,53000.0,0.0,6.0,2.0
7804,,,,
8601,,,,
8901,32000.0,0.0,6.0,2.0
9101,20000.0,0.0,7.0,3.0
9102,30000.0,0.0,8.0,5.0
9201,50000.0,0.0,4.0,2.0
9202,16000.0,0.0,8.0,4.0
9501,,,,
9502,65000.0,0.0,6.0,2.0
9503,,,,
9601,,,,
9602,40000.0,0.0,10.0,6.0
9603,17000.0,0.0,8.0,5.0
9701,6000.0,0.0,7.0,3.0
9702,,,,
9801,59000.0,0.0,10.0,6.0
9802,85000.0,0.0,8.0,5.0
9803,80000.0,0.0,8.0,4.0
9901,32000.0,0.0,6.0,2.0
9902,40000.0,0.0,6.0,2.0
10001,,,,
10002,,,,
10003,12000.0,0.0,7.0,3.0
10201,,,,
11101,44000.0,0.0,3.0,2.0
11102,,,,
11103,30000.0,0.0,3.0,2.0
11201,38000.0,0.0,3.0,2.0
11202,20000.0,0.0,8.0,5.0
11501,,,,
11502,,,,
11503,,,,
11504,,,,
11801,,,,
11802,30000.0,0.0,3.0,2.0
12101,2000.0,0.0,8.0,4.0
12401,,,,
12402,100000.0,0.0,8.0,4.0
12801,,,,
12802,6200.0,0.0,6.0,2.0
13301,30000.0,0.0,3.0,2.0
13701,,,,
13702,130000.0,0.0,10.0,6.0
13801,,,,
13802,115000.0,0.0,14.0,8.0
13803,,,,
14001,46000.0,0.0,3.0,2.0
14301,,,,
14302,,,,
14303,43800.0,0.0,6.0,2.0
14304,,,,
14401,85650.0,0.0,8.0,5.0
14402,19000.0,0.0,5.0,2.0
14403,52000.0,0.0,10.0,6.0
14701,104000.0,0.0,8.0,5.0
14702,111000.0,0.0,12.0,7.0
14901,59000.0,0.0,8.0,5.0
14902,,,,
15301,,,,
15302,23000.0,0.0,5.0,2.0
15701,,,,
15702,204398.0,0.0,10.0,6.0
15801,,,,
15802,,,,
15901,,,,
15902,85000.0,0.0,11.0,6.0
15903,135000.0,0.0,8.0,5.0
15904,90000.0,0.0,8.0,5.0
15905,70000.0,0.0,11.0,6.0
16001,57000.0,0.0,6.0,2.0
16101,55000.0,0.0,5.0,2.0
16102,40000.0,0.0,6.0,2.0
16501,,,,
16502,75000.0,0.0,6.0,2.0
16503,50000.0,0.0,6.0,2.0
16701,,,,
16702,,,,
17201,2000.0,0.0,8.0,4.0
17401,,,,
17402,,,,
17501,45000.0,0.0,6.0,2.0
17502,120000.0,0.0,6.0,2.0
17503,93000.0,0.0,12.0,7.0
17504,35000.0,0.0,8.0,4.0
17901,,,,
17902,65000.0,0.0,6.0,2.0
18001,,,,
18002,,,,
18003,,,,
18301,,,,
18302,,,,
18303,0.0,0.0,6.0,2.0
18401,10000.0,0.0,6.0,2.0
18601,,,,
18801,,,,
19001,30000.0,0.0,8.0,4.0
19201,78000.0,0.0,8.0,4.0
19202,,,,
19203,70000.0,0.0,8.0,5.0
19701,,,,
19702,23000.0,0.0,8.0,5.0
20001,100000.0,0.0,10.0,6.0
20002,15000.0,0.0,7.0,3.0
20301,,,,
20302,,,,
20401,,,,
20402,,,,
20501,28000.0,0.0,7.0,3.0
20502,,,,
20503,0.0,0.0,6.0,2.0
20801,0.0,0.0,5.0,0.0
21101,50000.0,0.0,8.0,5.0
21102,30000.0,0.0,8.0,5.0
21103,8000.0,0.0,6.0,2.0
21104,500.0,0.0,2.0,0.0
22101,0.0,0.0,3.0,2.0
22102,28752.0,0.0,2.0,1.0
22103,,,,
22104,48000.0,0.0,2.0,1.0
22401,19000.0,0.0,3.0,2.0
22402,,,,
22403,,,,
22701,0.0,0.0,2.0,0.0
22702,,,,
22703,,,,
22704,0.0,0.0,3.0,2.0
22801,,,,
22802,,,,
22803,,0.0,2.0,1.0
22804,,,,
22901,50000.0,0.0,7.0,3.0
23101,54000.0,0.0,11.0,6.0
23102,60000.0,0.0,8.0,5.0
23601,,,,
23602,,,,
23603,,,,
23701,,,,
23901,,,,
23902,,,,
23903,,,,
24001,,,,
24002,52000.0,0.0,7.0,3.0
24201,5000.0,0.0,8.0,5.0
24401,204398.0,0.0,8.0,5.0
24402,,,,
24403,29000.0,0.0,8.0,5.0
24501,0.0,0.0,8.0,5.0
24502,0.0,0.0,8.0,5.0
24503,29000.0,0.0,7.0,3.0
24901,90000.0,0.0,3.0,2.0
24902,,,,
24903,65000.0,0.0,6.0,2.0
24904,10000.0,0.0,6.0,2.0
25001,38000.0,0.0,6.0,2.0
25002,38000.0,0.0,7.0,3.0
25201,,0.0,7.0,3.0
25202,,,,
25401,,,,
25402,30000.0,0.0,10.0,6.0
25403,,,,
25404,55000.0,0.0,3.0,2.0
25405,34000.0,0.0,8.0,4.0
25501,,,,
25502,,,,
25503,123000.0,0.0,11.0,6.0
25504,61000.0,0.0,10.0,6.0
25505,55000.0,0.0,6.0,2.0
25601,,,,
25602,20000.0,0.0,3.0,2.0
25801,,,,
25802,,,,
25803,,,,
26201,,,,
26202,,,,
26501,0.0,0.0,10.0,6.0
26502,56500.0,0.0,12.0,7.0
26503,95000.0,0.0,9.0,5.0
26504,,,,
27201,,,,
27202,,,,
27203,,,,
27204,,,,
27501,17000.0,0.0,7.0,3.0
27502,45000.0,0.0,6.0,2.0
27801,45000.0,0.0,7.0,3.0
27802,45000.0,0.0,6.0,2.0
27803,,,,
27804,,,,
28201,55000.0,0.0,10.0,6.0
28202,0.0,0.0,10.0,6.0
28501,,,,
28502,,,,
28503,,,,
28701,,,,
28702,0.0,0.0,2.0,1.0
28801,44000.0,0.0,8.0,5.0
28802,80000.0,0.0,3.0,2.0
28803,27000.0,0.0,3.0,2.0
28804,,0.0,3.0,2.0
28805,26000.0,0.0,2.0,0.0
28806,15000.0,0.0,2.0,1.0
28901,,,,
28902,,,,
29001,36000.0,0.0,5.0,2.0
29002,53000.0,0.0,10.0,6.0
29201,120000.0,0.0,8.0,5.0
29202,,,,
29301,,,,
29302,,,,
29401,204398.0,0.0,10.0,6.0
29402,,,,
29403,,,,
29701,,,,
29702,50000.0,0.0,3.0,2.0
29801,,,,
29802,,,,
30501,,,,
30502,,,,
31201,34000.0,0.0,4.0,2.0
31202,,,,
31401,,,,
31402,46000.0,0.0,7.0,3.0
31403,,,,
31404,0.0,0.0,6.0,2.0
31405,,,,
32101,,,,
32102,,,,
32103,,,,
32201,,,,
32202,,,,
32203,85000.0,0.0,10.0,6.0
33301,,,,
33302,,,,
33501,,,,
33801,,,,
33802,,,,
33901,,,,
34001,,,,
34002,24000.0,0.0,3.0,2.0
34003,,,,
34301,67745.0,0.0,8.0,4.0
34401,,,,
34402,,,,
34501,,,,
34701,,,,
34702,,,,
35401,,,,
35402,10000.0,0.0,8.0,5.0
36501,,,,
36502,,,,
36503,,,,
36504,,,,
36505,,,,
36901,55000.0,0.0,10.0,6.0
36902,60000.0,0.0,8.0,4.0
37101,0.0,1.0,3.0,2.0
37102,,,,
37103,67000.0,0.0,8.0,4.0
37301,,,,
37302,,,,
37401,,,,
37402,110000.0,0.0,7.0,3.0
37403,,,,
37901,,,,
37902,,,,
37903,0.0,0.0,2.0,0.0
38201,,,,
38202,54000.0,0.0,6.0,2.0
38501,0.0,0.0,3.0,2.0
38502,0.0,0.0,3.0,2.0
38503,0.0,0.0,3.0,2.0
38801,45000.0,0.0,7.0,3.0
38802,,,,
38803,25000.0,0.0,3.0,2.0
38901,,,,
38902,,,,
39001,0.0,0.0,8.0,4.0
39002,,,,
39003,23000.0,0.0,3.0,2.0
39004,3000.0,1.0,2.0,1.0
39101,20000.0,0.0,2.0,1.0
39102,,,,
39103,10000.0,0.0,6.0,2.0
39501,,,,
39502,40000.0,0.0,7.0,3.0
39701,,,,
39702,800.0,0.0,6.0,1.0
39703,,,,
39704,1500.0,0.0,2.0,0.0
