child_id,mother_id,white_sample,firstborn,child_has_any_a9_measure,child_has_all_three_a9_types,maternal_a9_complete
201,2,TRUE,TRUE,TRUE,TRUE,TRUE
301,3,TRUE,TRUE,TRUE,TRUE,TRUE
401,4,TRUE,TRUE,TRUE,TRUE,TRUE
801,8,TRUE,TRUE,TRUE,TRUE,TRUE
1001,10,TRUE,TRUE,TRUE,TRUE,TRUE
1201,12,TRUE,TRUE,TRUE,FALSE,TRUE
1601,16,TRUE,TRUE,TRUE,TRUE,TRUE
1901,19,TRUE,TRUE,TRUE,TRUE,FALSE
2001,20,TRUE,TRUE,TRUE,TRUE,TRUE
2501,25,TRUE,TRUE,TRUE,TRUE,TRUE
2701,27,TRUE,TRUE,TRUE,TRUE,TRUE
3001,30,TRUE,TRUE,TRUE,TRUE,TRUE
3501,35,TRUE,TRUE,TRUE,TRUE,TRUE
3701,37,TRUE,TRUE,TRUE,TRUE,TRUE
4301,43,TRUE,TRUE,TRUE,TRUE,TRUE
4401,44,TRUE,TRUE,TRUE,TRUE,TRUE
4601,46,TRUE,TRUE,TRUE,TRUE,TRUE
4901,49,TRUE,TRUE,TRUE,TRUE,TRUE
5001,50,TRUE,TRUE,TRUE,TRUE,TRUE
5701,57,TRUE,TRUE,TRUE,TRUE,TRUE
5801,58,TRUE,TRUE,TRUE,TRUE,TRUE
6101,61,TRUE,TRUE,TRUE,TRUE,TRUE
6201,62,TRUE,TRUE,TRUE,TRUE,TRUE
6801,68,TRUE,TRUE,TRUE,TRUE,TRUE
7501,75,TRUE,TRUE,TRUE,TRUE,TRUE
7801,78,TRUE,TRUE,TRUE,TRUE,TRUE
9101,91,TRUE,TRUE,TRUE,TRUE,TRUE
9201,92,TRUE,TRUE,TRUE,TRUE,TRUE
9501,95,TRUE,TRUE,TRUE,TRUE,TRUE
9601,96,TRUE,TRUE,TRUE,TRUE,TRUE
9701,97,TRUE,TRUE,TRUE,TRUE,TRUE
9801,98,TRUE,TRUE,TRUE,TRUE,TRUE
9901,99,TRUE,TRUE,TRUE,TRUE,FALSE
10001,100,TRUE,TRUE,TRUE,TRUE,TRUE
10201,102,TRUE,TRUE,TRUE,TRUE,TRUE
11101,111,TRUE,TRUE,TRUE,TRUE,TRUE
11201,112,TRUE,TRUE,TRUE,TRUE,TRUE
11501,115,TRUE,TRUE,TRUE,FALSE,TRUE
11801,118,TRUE,TRUE,TRUE,TRUE,TRUE
12101,121,TRUE,TRUE,TRUE,TRUE,TRUE
12401,124,TRUE,TRUE,TRUE,TRUE,TRUE
12801,128,TRUE,TRUE,TRUE,TRUE,TRUE
13301,133,TRUE,TRUE,TRUE,TRUE,TRUE
13701,137,TRUE,TRUE,TRUE,TRUE,TRUE
13801,138,TRUE,TRUE,TRUE,TRUE,TRUE
14001,140,TRUE,TRUE,TRUE,TRUE,TRUE
14301,143,TRUE,TRUE,TRUE,TRUE,TRUE
14401,144,TRUE,TRUE,TRUE,TRUE,TRUE
14701,147,TRUE,TRUE,TRUE,TRUE,TRUE
14901,149,TRUE,TRUE,TRUE,TRUE,TRUE
15301,153,TRUE,TRUE,TRUE,TRUE,FALSE
15701,157,TRUE,TRUE,TRUE,TRUE,TRUE
15801,158,TRUE,TRUE,TRUE,TRUE,TRUE
15901,159,TRUE,TRUE,TRUE,TRUE,TRUE
16001,160,TRUE,TRUE,TRUE,TRUE,TRUE
16101,161,TRUE,TRUE,TRUE,TRUE,TRUE
16501,165,TRUE,TRUE,TRUE,TRUE,TRUE
16701,167,TRUE,TRUE,TRUE,TRUE,TRUE
17201,172,TRUE,TRUE,TRUE,TRUE,TRUE
17501,175,TRUE,TRUE,TRUE,TRUE,FALSE
17901,179,TRUE,TRUE,TRUE,TRUE,TRUE
18001,180,TRUE,TRUE,TRUE,TRUE,TRUE
18301,183,TRUE,TRUE,TRUE,TRUE,TRUE
